TEAM_ID,TEAM_NAME,GAME_DATE,MATCHUP,PTS,FGM,FGA,FG_PCT
1611661321,Dallas Wings,2026-06-22T00:00:00,DAL @ SEA,112,48,89,0.539
1611661328,Seattle Storm,2026-06-22T00:00:00,SEA vs. DAL,110,39,77,0.506
1611661332,Toronto Tempo,2026-06-22T00:00:00,TOR @ ATL,87,28,62,0.452
1611661317,Phoenix Mercury,2026-06-22T00:00:00,PHX @ IND,77,28,68,0.412
1611661329,Chicago Sky,2026-06-22T00:00:00,CHI @ CON,63,17,73,0.233
1611661319,Las Vegas Aces,2026-06-21T00:00:00,LVA vs. GSV,92,36,58,0.621
1611661322,Washington Mystics,2026-06-21T00:00:00,WAS @ MIN,84,28,61,0.459
1611661320,Los Angeles Sparks,2026-06-21T00:00:00,LAS vs. NYL,98,40,77,0.519
1611661313,New York Liberty,2026-06-21T00:00:00,NYL @ LAS,97,34,69,0.493
1611661324,Minnesota Lynx,2026-06-21T00:00:00,MIN vs. WAS,79,31,71,0.437
1611661331,Golden State Valkyries,2026-06-21T00:00:00,GSV @ LVA,73,28,67,0.418
1611661317,Phoenix Mercury,2026-06-20T00:00:00,PHX vs. SEA,93,31,63,0.492
1611661330,Atlanta Dream,2026-06-20T00:00:00,ATL vs. IND,113,40,80,0.5
1611661321,Dallas Wings,2026-06-20T00:00:00,DAL vs. CHI,93,33,73,0.452
1611661329,Chicago Sky,2026-06-20T00:00:00,CHI @ DAL,92,33,70,0.471
1611661325,Indiana Fever,2026-06-20T00:00:00,IND @ ATL,96,33,67,0.493
1611661328,Seattle Storm,2026-06-20T00:00:00,SEA @ PHX,73,25,70,0.357
1611661324,Minnesota Lynx,2026-06-19T00:00:00,MIN @ GSV,81,27,68,0.397
1611661332,Toronto Tempo,2026-06-19T00:00:00,TOR @ CON,101,37,76,0.487
1611661322,Washington Mystics,2026-06-19T00:00:00,WAS @ NYL,86,30,62,0.484
1611661313,New York Liberty,2026-06-19T00:00:00,NYL vs. WAS,83,29,66,0.439
1611661323,Connecticut Sun,2026-06-19T00:00:00,CON vs. TOR,97,35,76,0.461
1611661331,Golden State Valkyries,2026-06-19T00:00:00,GSV vs. MIN,75,26,74,0.351
1611661330,Atlanta Dream,2026-06-18T00:00:00,ATL @ IND,108,37,69,0.536
1611661325,Indiana Fever,2026-06-18T00:00:00,IND vs. ATL,101,35,63,0.556
