GAME_ID,SPORT_KEY,COMMENCE_TIME,HOME_TEAM,AWAY_TEAM,BOOKMAKER,MARKET_TYPE,TARGET_TEAM,PRICE,POINT
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,FanDuel,h2h,Minnesota Lynx,1.31,
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,FanDuel,spreads,Connecticut Sun,1.91,7.5
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,FanDuel,spreads,Minnesota Lynx,1.91,-7.5
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,FanDuel,totals,Over,1.87,167.5
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,FanDuel,totals,Under,1.95,167.5
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,DraftKings,h2h,Connecticut Sun,3.85,
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,DraftKings,h2h,Minnesota Lynx,1.28,
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,DraftKings,spreads,Connecticut Sun,1.95,7.5
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,DraftKings,spreads,Minnesota Lynx,1.87,-7.5
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,DraftKings,totals,Over,1.91,167.5
0fc4abb4edf30887b57b4f686db8179a,basketball_wnba,2026-07-08T23:30:00Z,Connecticut Sun,Minnesota Lynx,DraftKings,totals,Under,1.91,167.5
